2025-06-06 00:03:25,098 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 00:03:58,819 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 00:15:02,918 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 00:15:36,202 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 12:16:00,987 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 12:29:38,198 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmpy6cv31gisample-0.mp3
2025-06-06 12:29:41,377 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end continued. It was not fair eyes set it over her. Edmund.

2025-06-06 12:53:26,371 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmph0mpo8resample-0.mp3
2025-06-06 12:53:29,252 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end continued. It was not fair eyes set it over her. Edmond

2025-06-06 13:32:33,908 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmp3yuc7kfqsample-0.mp3
2025-06-06 13:32:36,842 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end continued. It was not Faireyes set it over her.' Edmund

2025-06-06 13:40:19,097 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:24:37,302 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:31:37,105 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:35:36,556 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:36:11,672 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:36:49,715 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:40:33,658 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:41:27,961 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:42:10,267 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:45:17,996 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:45:52,287 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:54:50,050 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 14:55:31,127 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 15:00:12,236 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 15:00:52,366 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 15:02:43,845 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 15:03:20,664 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 15:11:52,002 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 15:13:17,638 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 15:14:06,939 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 15:17:13,854 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 15:18:01,946 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 16:12:00,496 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmpmih036u8sample-0.mp3
2025-06-06 16:12:02,701 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards, and took her, and his heart at end continued. It was not fair eyes set it over her.

2025-06-06 17:00:19,197 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 17:05:42,059 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmpewoyg76esample-0.mp3
2025-06-06 17:05:45,272 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end continued. It was not fair eyes set it over her. Edmund

2025-06-06 17:38:39,376 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 17:39:27,180 | INFO     | AudioController | AudioController initialized with all agents
