2025-06-03 13:11:13,981 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:12:45,441 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:12:45,441 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:13:11,494 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:13:11,494 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:13:11,494 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:13:12,055 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:13:12,055 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:13:12,055 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:13:17,324 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:13:17,324 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:13:17,324 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:13:21,316 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:13:21,316 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:13:21,316 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:13:44,597 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:13:44,597 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:13:44,597 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:13:44,597 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:13:45,021 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:13:45,021 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:13:45,021 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:13:45,021 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:13:50,027 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:13:50,027 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:13:50,027 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:13:50,027 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:13:52,774 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:13:52,774 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:13:52,774 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:13:52,774 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:14:24,945 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:24,945 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:24,945 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:24,945 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:24,945 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:25,377 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:14:25,377 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:14:25,377 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:14:25,377 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:14:25,377 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:14:30,384 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:14:30,384 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:14:30,384 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:14:30,384 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:14:30,384 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:14:33,739 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:14:33,739 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:14:33,739 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:14:33,739 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:14:33,739 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:14:56,291 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:56,291 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:56,291 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:56,291 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:56,291 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:14:56,291 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:19:25,308 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:20:45,370 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:20:45,370 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:23:00,611 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:23:38,153 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:23:38,153 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:23:38,153 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:23:38,347 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:23:38,347 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:23:38,347 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:24:37,423 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:24:37,423 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:24:37,423 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:24:37,423 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:24:37,957 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:24:37,957 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:24:37,957 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:24:37,957 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:24:42,965 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:24:42,965 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:24:42,965 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:24:42,965 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:24:45,812 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:24:45,812 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:24:45,812 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:24:45,812 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 13:25:20,009 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:25:20,009 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:25:20,009 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:25:20,009 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:25:20,009 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:29:03,600 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:34:31,854 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
2025-06-03 13:49:16,288 | INFO     | AudioTranscriptionAgent | * Recording started
2025-06-03 13:49:21,297 | INFO     | AudioTranscriptionAgent | * Recording finished
2025-06-03 13:49:23,660 | INFO     | AudioTranscriptionAgent | Audio transcription completed successfully
2025-06-03 14:00:59,848 | INFO     | AudioTranscriptionAgent | Successfully initialized OpenAI client
