2025-05-25 19:28:00,538 | ERROR    | HybridRetriever | Error initializing embeddings: in method 'fvec_renorm_L2', argument 3 of type 'float *'
2025-05-25 19:32:20,860 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:32:48,074 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:32:48,074 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:32:48,074 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:32:48,506 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:32:48,506 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:32:48,506 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:32:51,866 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:32:51,866 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:32:51,866 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:37:58,964 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:37:58,964 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:37:58,964 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:37:58,964 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:37:58,964 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:37:59,302 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:37:59,302 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:37:59,302 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:37:59,302 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:37:59,302 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:38:03,141 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:38:03,141 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:38:03,141 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:38:03,141 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:38:03,141 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:45:05,929 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:05,929 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:05,929 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:05,929 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:05,929 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:05,929 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:05,929 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:06,187 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:06,187 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:06,187 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:06,187 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:06,187 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:06,187 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:06,187 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:45:09,537 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:45:09,537 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:45:09,537 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:45:09,537 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:45:09,537 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:45:09,537 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:45:09,537 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:47:34,558 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:47:34,558 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:47:34,558 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:47:34,558 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:47:34,558 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:47:34,558 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:47:34,558 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:47:34,558 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:47:37,745 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:47:37,745 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:47:37,745 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:47:37,745 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:47:37,745 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:47:37,745 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:47:37,745 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:47:37,745 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,621 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:50,894 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:48:54,733 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:37,098 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:52:40,822 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:55:15,477 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:55:15,477 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:55:15,477 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
