2025-05-27 13:03:54,808 | ERROR    | HybridRetriever | Error initializing embeddings: Request timed out.
2025-05-27 13:04:24,305 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:04:50,502 | ERROR    | HybridRetriever | Error initializing embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,502 | ERROR    | HybridRetriever | Error initializing embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,502 | ERROR    | HybridRetriever | Error initializing embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,774 | ERROR    | HybridRetriever | Error initializing embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,774 | ERROR    | HybridRetriever | Error initializing embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,774 | ERROR    | HybridRetriever | Error initializing embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:13:01,149 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:13:14,999 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:13:14,999 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:13:14,999 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:13:15,283 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:13:15,283 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:13:15,283 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:13:19,563 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:13:19,563 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:13:19,563 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:14:12,435 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:15:09,324 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:15:09,324 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:15:09,324 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:15:09,664 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:15:09,664 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:15:09,664 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:15:14,619 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:15:14,619 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:15:14,619 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:20:43,758 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:21:30,474 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:22:46,978 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:24:06,957 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:28:58,726 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:28:58,726 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:29:19,184 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:29:19,184 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:29:19,184 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:29:36,363 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:29:36,363 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:29:36,363 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:29:36,363 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,057 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,057 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,057 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,057 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,057 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,057 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,312 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,312 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,312 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:30:04,312 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
