2025-06-04 13:45:58,822 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 13:46:33,058 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 13:47:39,948 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 13:48:44,857 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 13:54:31,690 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 14:47:02,911 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 14:47:17,724 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 14:58:28,580 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 14:58:54,032 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 15:01:19,988 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 15:02:01,269 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 15:02:22,703 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 15:09:50,332 | ERROR    | HybridRetriever | Error initializing embeddings: [WinError 3] The system cannot find the path specified: 'data/policies'
2025-06-04 15:10:46,628 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 15:10:49,311 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 15:12:48,091 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 15:13:03,124 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 15:29:33,767 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 15:30:03,210 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 15:33:57,673 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 15:34:55,342 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 15:35:12,606 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 15:35:36,806 | INFO     | HybridRetriever | Retrieved 5 relevant policies
2025-06-04 16:00:24,921 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 16:00:41,971 | ERROR    | HybridRetriever | Error retrieving policies: Error code: 403 - {'error': {'message': 'Access denied', 'code': '403'}}
2025-06-04 16:11:08,933 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-06-04 16:11:20,969 | ERROR    | HybridRetriever | Error retrieving policies: Error code: 403 - {'error': {'message': 'Access denied', 'code': '403'}}
