2025-05-25 19:27:55,985 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:27:55,986 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:27:55,987 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:27:55,988 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:28:00,538 | ERROR    | PolicyEmbeddings | Failed to create embeddings: in method 'fvec_renorm_L2', argument 3 of type 'float *'
2025-05-25 19:32:18,818 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:32:18,819 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:32:18,821 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:32:18,821 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:32:20,859 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:32:46,567 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:32:46,567 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:32:46,567 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:32:46,568 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:32:46,568 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:32:46,568 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:32:46,570 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:32:46,570 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:32:46,570 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:32:46,571 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:32:46,571 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:32:46,571 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:32:46,804 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:32:46,804 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:32:46,804 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:32:46,805 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:32:46,805 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:32:46,805 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:32:46,807 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:32:46,807 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:32:46,807 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:32:46,808 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:32:46,808 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:32:46,808 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:32:48,071 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
