2025-05-27 13:03:36,798 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client with persist directory: ./chroma_db
2025-05-27 13:03:37,687 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:03:37,688 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:03:37,691 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-27 13:03:37,692 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-27 13:03:54,806 | ERROR    | PolicyEmbeddings | Failed to create embeddings: Request timed out.
2025-05-27 13:04:21,200 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client with persist directory: ./chroma_db
2025-05-27 13:04:21,659 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:04:21,659 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:04:21,661 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-27 13:04:21,661 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-27 13:04:24,304 | INFO     | PolicyEmbeddings | Successfully stored 5 embeddings in ChromaDB
2025-05-27 13:04:49,401 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client with persist directory: ./chroma_db
2025-05-27 13:04:49,401 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client with persist directory: ./chroma_db
2025-05-27 13:04:49,789 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client with persist directory: ./chroma_db
2025-05-27 13:04:49,789 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client with persist directory: ./chroma_db
2025-05-27 13:04:49,789 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client with persist directory: ./chroma_db
2025-05-27 13:04:50,491 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:04:50,491 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:04:50,491 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:04:50,493 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:04:50,493 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:04:50,493 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:04:50,495 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-27 13:04:50,495 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-27 13:04:50,495 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-27 13:04:50,496 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-27 13:04:50,496 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-27 13:04:50,496 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-27 13:04:50,499 | INFO     | PolicyEmbeddings | Collection already contains 5 documents. Clearing collection...
2025-05-27 13:04:50,499 | INFO     | PolicyEmbeddings | Collection already contains 5 documents. Clearing collection...
2025-05-27 13:04:50,499 | INFO     | PolicyEmbeddings | Collection already contains 5 documents. Clearing collection...
2025-05-27 13:04:50,500 | ERROR    | PolicyEmbeddings | Failed to create embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,500 | ERROR    | PolicyEmbeddings | Failed to create embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,500 | ERROR    | PolicyEmbeddings | Failed to create embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,767 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:04:50,767 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:04:50,767 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:04:50,768 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:04:50,768 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:04:50,768 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:04:50,770 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-27 13:04:50,770 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-27 13:04:50,770 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-27 13:04:50,771 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-27 13:04:50,771 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-27 13:04:50,771 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-27 13:04:50,772 | INFO     | PolicyEmbeddings | Collection already contains 5 documents. Clearing collection...
2025-05-27 13:04:50,772 | INFO     | PolicyEmbeddings | Collection already contains 5 documents. Clearing collection...
2025-05-27 13:04:50,772 | INFO     | PolicyEmbeddings | Collection already contains 5 documents. Clearing collection...
2025-05-27 13:04:50,773 | ERROR    | PolicyEmbeddings | Failed to create embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,773 | ERROR    | PolicyEmbeddings | Failed to create embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:04:50,773 | ERROR    | PolicyEmbeddings | Failed to create embeddings: Expected where to have exactly one operator, got {} in delete.
2025-05-27 13:12:58,197 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:12:58,198 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:12:58,200 | INFO     | PolicyEmbeddings | Policy changes detected or storage unavailable, processing documents
2025-05-27 13:12:58,201 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-27 13:12:58,203 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-27 13:13:01,148 | INFO     | PolicyEmbeddings | All data saved to FAISS storage successfully
2025-05-27 13:13:01,148 | INFO     | PolicyEmbeddings | Created and stored embeddings with shape (5, 1536)
2025-05-27 13:13:14,983 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:13:14,983 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:13:14,983 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:13:14,984 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:13:14,984 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:13:14,984 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
