2025-06-03 12:11:35,267 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client at localhost:8000
2025-06-03 12:11:35,341 | INFO     | PolicyEmbeddings | Successfully initialized collection: policy_collection
2025-06-03 12:11:35,703 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-06-03 12:11:35,704 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:11:35,713 | ERROR    | PolicyEmbeddings | Failed to create embeddings: No documents loaded. Call load_documents() first.
2025-06-03 12:13:57,712 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client at localhost:8000
2025-06-03 12:13:57,765 | INFO     | PolicyEmbeddings | Successfully initialized collection: policy_collection
2025-06-03 12:13:58,218 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-06-03 12:13:58,219 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:15:54,341 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client at localhost:8000
2025-06-03 12:15:54,395 | INFO     | PolicyEmbeddings | Successfully initialized collection: policy_collection
2025-06-03 12:15:55,234 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-06-03 12:15:55,235 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:19:53,508 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client at localhost:8000
2025-06-03 12:19:53,555 | INFO     | PolicyEmbeddings | Successfully initialized collection: policy_collection
2025-06-03 12:19:53,915 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-06-03 12:19:53,916 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:19:53,921 | ERROR    | PolicyEmbeddings | Failed to create embeddings: No documents loaded. Call load_documents() first.
2025-06-03 12:22:15,898 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client at localhost:8000
2025-06-03 12:22:15,945 | INFO     | PolicyEmbeddings | Successfully initialized collection: policy_collection
2025-06-03 12:22:16,413 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-06-03 12:22:16,414 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs/google_policy.txt
2025-06-03 12:22:48,560 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client at localhost:8000
2025-06-03 12:22:48,605 | INFO     | PolicyEmbeddings | Successfully initialized collection: policy_collection
2025-06-03 12:22:48,965 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-06-03 12:22:48,966 | INFO     | PolicyEmbeddings | Loading documents from data\policy_docs\google_policy.txt
2025-06-03 12:23:07,991 | INFO     | PolicyEmbeddings | Successfully initialized ChromaDB client at localhost:8000
